Model,Dataset,Accuracies,Mean test acc,Confidence interval acc,Confidence interval / 2 acc
VQC_angle_testing_list,BanknoteAuthentication,"[0.82608696 0.80434783 0.7173913  0.79710145 0.77536232 0.78985507
 0.7826087  0.75362319 0.79710145 0.82608696]",0.7869565217391304,"(0.763492476280502, 0.8104205671977589)",0.023464045458628457
VQC_amplitude_testing_list,BanknoteAuthentication,"[0.86956522 0.8115942  0.84782609 0.8115942  0.81884058 0.76086957
 0.88405797 0.84057971 0.94202899 0.88405797]",0.8471014492753624,"(0.8109017282675057, 0.883301170283219)",0.03619972100785662
dressed_quantum_testing_list,BanknoteAuthentication,"[0.98550725 0.99275362 0.99275362 0.99275362 1.         1.
 0.99275362 0.98550725 1.         1.        ]",0.9942028985507246,"(0.9901139048028921, 0.9982918922985572)",0.004088993747832559
sequent_quantum_testing_list,BanknoteAuthentication,"[0.98550725 0.97826087 0.95652174 0.98550725 1.         0.98550725
 0.98550725 0.97826087 0.96376812 0.97101449]",0.9789855072463768,"(0.9700236386244838, 0.9879473758682698)",0.008961868621892966
NN_with_compressed_input_testing_list,BanknoteAuthentication,"[0.55797101 0.78985507 0.73913043 0.55797101 0.79710145 0.53623188
 0.79710145 0.60869565 0.79710145 0.80434783]",0.6985507246376811,"(0.6144951519704533, 0.7826062973049088)",0.08405557266722774
NN_with_original_input_testing_list,BanknoteAuthentication,"[0.98550725 0.99275362 1.         0.98550725 1.         0.98550725
 1.         1.         0.96376812 0.99275362]",0.9905797101449275,"(0.9824566705559066, 0.9987027497339485)",0.008123039589020942
VQC_angle_testing_list,BreastCancer,"[0.84210526 0.85964912 0.89473684 0.92982456 0.98245614 0.63157895
 0.52631579 0.94736842 0.9122807  0.63157895]",0.8157894736842104,"(0.7019509656746069, 0.9296279816938139)",0.11383850800960349
VQC_amplitude_testing_list,BreastCancer,"[0.8245614  0.8245614  0.85964912 0.80701754 0.9122807  0.85964912
 0.84210526 0.84210526 0.85964912 0.85964912]",0.8491228070175438,"(0.8284584652080142, 0.8697871488270734)",0.020664341809529585
dressed_quantum_testing_list,BreastCancer,"[0.96491228 0.98245614 0.98245614 0.94736842 0.9122807  0.98245614
 0.98245614 0.98245614 0.98245614 1.        ]",0.9719298245614036,"(0.9539851504661991, 0.9898744986566081)",0.017944674095204505
sequent_quantum_testing_list,BreastCancer,"[0.94736842 0.98245614 1.         0.94736842 0.92982456 0.98245614
 0.98245614 0.98245614 0.98245614 0.98245614]",0.9719298245614034,"(0.9560550374544491, 0.9878046116683578)",0.015874787106954336
NN_with_compressed_input_testing_list,BreastCancer,"[0.87719298 0.9122807  0.94736842 0.9122807  1.         0.63157895
 0.52631579 0.94736842 0.94736842 0.63157895]",0.8333333333333334,"(0.712485231241848, 0.9541814354248187)",0.12084810209148533
NN_with_original_input_testing_list,BreastCancer,"[0.96491228 0.98245614 1.         0.89473684 1.         0.98245614
 0.96491228 0.98245614 0.98245614 0.98245614]",0.9736842105263157,"(0.9521489762500335, 0.9952194448025979)",0.021535234276282234
VQC_angle_testing_list,MNIST,[0.4726 0.4779 0.5517 0.6093 0.5396 0.4374 0.4847 0.5353 0.4852 0.4755],0.5069199999999999,"(0.47062659142803914, 0.5432134085719607)",0.036293408571960756
VQC_amplitude_testing_list,MNIST,[0.4822 0.4159 0.4299 0.4755 0.4323 0.4613 0.4812 0.3649 0.5114 0.3882],0.44428,"(0.41126287441119297, 0.47729712558880705)",0.03301712558880704
dressed_quantum_testing_list,MNIST,[0.8852 0.8956 0.8929 0.9084 0.8905 0.8886 0.9009 0.8998 0.9029 0.8942],0.8958999999999999,"(0.8908171051795152, 0.9009828948204847)",0.00508289482048474
sequent_quantum_testing_list,MNIST,[0.4948 0.547  0.589  0.4989 0.3661 0.5588 0.4866 0.5524 0.4577 0.5301],0.5081399999999999,"(0.46258192696221806, 0.5536980730377818)",0.04555807303778189
NN_with_compressed_input_testing_list,MNIST,[0.7961 0.8995 0.753  0.8382 0.7536 0.8949 0.911  0.8532 0.7985 0.8098],0.8307800000000001,"(0.7891237300455816, 0.8724362699544186)",0.04165626995441851
NN_with_original_input_testing_list,MNIST,[0.9855 0.984  0.9863 0.9846 0.9861 0.9854 0.9862 0.9847 0.9844 0.9837],0.9850900000000001,"(0.9844168630465779, 0.9857631369534223)",0.0006731369534221932
VQC_angle_testing_list,Audio,"[0.21166667 0.19       0.183      0.27833333 0.25566667 0.28233333
 0.21166667 0.269      0.28466667 0.23766667]",0.2404,"(0.2124883344203884, 0.2683116655796116)",0.02791166557961161
VQC_amplitude_testing_list,Audio,"[0.24633333 0.28066667 0.24666667 0.262      0.29       0.26
 0.22333333 0.283      0.18       0.29433333]",0.2566333333333333,"(0.23158500637548735, 0.2816816602911793)",0.02504832695784598
dressed_quantum_testing_list,Audio,"[0.218      0.48166667 0.63233333 0.68       0.142      0.06466667
 0.10166667 0.05266667 0.535      0.65333333]",0.3561333333333333,"(0.16777294530470932, 0.5444937213619573)",0.18836038802862398
sequent_quantum_testing_list,Audio,"[0.34       0.501      0.423      0.36266667 0.373      0.37833333
 0.37766667 0.40966667 0.325      0.36333333]",0.38536666666666664,"(0.3497241932252323, 0.421009140108101)",0.03564247344143434
NN_with_compressed_input_testing_list,Audio,"[0.319      0.312      0.26933333 0.23966667 0.31333333 0.26166667
 0.30666667 0.35633333 0.26133333 0.344     ]",0.2983333333333333,"(0.2707779025202593, 0.3258887641464073)",0.02755543081307399
NN_with_original_input_testing_list,Audio,"[0.91166667 0.87266667 0.92933333 0.91766667 0.74866667 0.841
 0.90066667 0.907      0.85266667 0.90533333]",0.8786666666666667,"(0.8400655341705563, 0.9172677991627771)",0.03860113249611041
